name,mass,radius,orbital_period,star_name,star_distance,star_age
109 Psc b,5.743,1.152,1075.4,109 Psc,32.56,6.9
51 Eri Ab,4.1,1.11,10260.0,51 Eri A,29.4,0.02
51 Peg b,0.47,1.9,4.2308,51 Peg,15.4614,4.0
55 Cnc Ae,0.02703,0.1737,0.7365478,55 Cnc A,12.5855,10.2
AF Lep b,3.75,1.3,8875.0,AF Lep,26.843,0.024
AU Mic b,0.028,0.4273,8.463446,AU Mic,9.79,0.022
AU Mic c,0.0456,0.2248,18.859023,AU Mic,9.79,0.022
BD+20 594 b,0.07,0.23,41.6855,BD+20 594,180.39,3.34
beta Pic b,11.9,1.65,7707.0,beta Pic,19.3,0.04
beta Pic c,8.89,1.2,1227.0,beta Pic,19.3,0.04
CD-35 2722 b,7.3,1.62,1963700.0,CD-35 2722,22.36,0.133
CoRoT-10 b,2.75,0.97,13.2406,CoRoT-10,345.0,3.0
CoRoT-11 b,2.33,1.43,2.994325,CoRoT-11,560.0,2.0
CoRoT-12 b,0.917,1.44,2.8280517,CoRoT-12,1150.0,6.3
CoRoT-13 b,1.308,0.885,4.0350906,CoRoT-13,1310.0,1.64
CoRoT-14 b,7.6,1.09,1.51214,CoRoT-14,1340.0,4.2
CoRoT-16 b,0.535,1.17,5.35227,CoRoT-16,840.0,6.73
CoRoT-17 b,2.43,1.02,3.768125,CoRoT-17,920.0,10.7
CoRoT-19 b,1.11,1.29,3.8971372,CoRoT-19,800.0,5.0
CoRoT-20 b,4.24,0.84,9.2431839,CoRoT-20,1230.0,0.1
CoRoT-21 b,2.26,1.3,2.72474,CoRoT-21,1400.0,4.1
CoRoT-22 b,0.06,0.4354,9.75598,CoRoT-22,592.0,3.3
CoRoT-23 b,2.8,1.08,3.6314,CoRoT-23,600.0,7.2
CoRoT-24 b,0.018,0.33,5.1134,CoRoT-24,600.0,11.0
CoRoT-24 c,0.088,0.44,11.759,CoRoT-24,600.0,11.0
CoRoT-25 b,0.27,1.08,4.86069,CoRoT-25,1000.0,5.2
CoRoT-26 b,0.52,1.26,4.20474,CoRoT-26,1670.0,8.6
CoRoT-29 b,0.85,0.9,2.85057,CoRoT-29,765.0,4.5
CoRoT-2 Ab,3.31,1.465,1.7429964,CoRoT-2 A,213.283,0.128
CoRoT-30 b,2.9,1.009,9.06005,CoRoT-30,960.0,3.0
CoRoT-31 b,0.84,1.46,4.62941,CoRoT-31,2190.0,4.7
CoRoT-35 b,1.1,1.68,3.22748,CoRoT-35,1140.0,6.1
CoRoT-36 b,0.68,1.41,5.616531,CoRoT-36,954.0,2.1
CoRoT-5 b,0.467,1.33,4.0379148,CoRoT-5,400.0,6.9
CoRoT-7 Ab,0.01907,0.136,0.8535,CoRoT-7 A,150.0,1.5
CoRoT-8 b,0.2158,0.5692,6.21229,CoRoT-8,380.0,3.0
CoRoT-9 Ab,0.84,0.94,95.273804,CoRoT-9 A,460.0,4.0
DH Tau b,12.0,2.6,2722900.0,DH Tau,134.85,0.0007
DS Tuc Ab,0.0453,0.5085,8.138268,DS Tuc A,44.12,0.04
G 9-40 b,0.013,0.17,5.7459982,G 9-40,27.93,9.9
GJ 1018 b,0.00843,0.1356,7.397225,GJ 1018,22.075,7.0
GJ 1132 b,0.00522,0.1035,1.628931,GJ 1132,12.04,5.0
GJ 1214 b,0.02571,0.24463,1.580404497,GJ 1214,13.0,6.0
